dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
0.0,-54.0,45.9,6.774953874381729,21,0.5
1.0,-52.6,14.299999999999999,3.7815340802378072,5,1.5
2.0,-55.285714285714285,49.904761904761905,7.064330251677218,7,2.5
3.0,-55.5,308.1333333333333,17.553727049642003,16,3.5
4.0,-52.22222222222222,323.4444444444444,17.98456128028828,9,4.5
5.0,-65.875,444.98214285714283,21.09459985060496,8,5.5
6.0,-52.42857142857143,142.61904761904762,11.942321701371455,7,6.5
7.0,-48.0625,141.79583333333332,11.907805563298945,16,7.5
8.0,-65.0,0.0,0.0,1,8.5
9.0,-54.6,289.3,17.008821240756223,5,9.5
10.0,-69.0,8.0,2.8284271247461903,2,10.5
11.0,-63.0,0.0,0.0,1,11.5
12.0,-61.0,586.0,24.20743687382041,4,12.5
13.0,-71.0,0.0,0.0,1,13.5
14.0,-50.5,924.5,30.405591591021544,2,14.5
15.0,-54.0,1682.0,41.012193308819754,2,15.5
16.0,-44.0,590.6666666666666,24.303634844744245,4,16.5
17.0,-41.5,760.5,27.577164466275352,2,17.5
18.0,-53.357142857142854,622.554945054945,24.95105098096962,14,18.5
19.0,-26.0,0.0,0.0,1,19.5
20.0,-87.0,0.0,0.0,1,20.5
21.0,-60.0,1800.0,42.42640687119285,2,21.5
25.0,-61.0,968.0,31.11269837220809,2,25.5
26.0,-60.5,1740.5,41.71930009000631,2,26.5
33.0,-57.5,1703.0,41.2674205639267,4,33.5
43.0,-63.5,760.5,27.577164466275352,2,43.5
44.0,-54.0,2592.0,50.91168824543142,2,44.5
48.0,-59.0,2738.0,52.32590180780452,2,48.5
54.0,-61.5,924.5,30.405591591021544,2,54.5
56.0,-56.0,2312.0,48.08326112068523,2,56.5
64.0,-68.5,1512.5,38.890872965260115,2,64.5
79.0,-16.0,0.0,0.0,1,79.5
84.0,-26.0,0.0,0.0,1,84.5
87.0,-32.0,0.0,0.0,1,87.5
94.0,-17.0,0.0,0.0,1,94.5
99.0,-25.0,0.0,0.0,1,99.5
104.0,-28.0,0.0,0.0,1,104.5
106.0,-17.0,0.0,0.0,1,106.5
118.0,-18.0,0.0,0.0,1,118.5
128.0,-15.0,0.0,0.0,1,128.5
129.0,-28.0,0.0,0.0,1,129.5
138.0,-28.0,0.0,0.0,1,138.5
145.0,-57.25,1440.9166666666667,37.95940814431472,4,145.5
150.0,-29.0,0.0,0.0,1,150.5
151.0,-26.0,0.0,0.0,1,151.5
158.0,-22.0,0.0,0.0,1,158.5
169.0,-26.0,0.0,0.0,1,169.5
178.0,-22.0,0.0,0.0,1,178.5
181.0,-53.75,1226.25,35.01785258978626,4,181.5
187.0,-61.0,2312.0,48.08326112068523,2,187.5
191.0,-55.0,2178.0,46.66904755831214,2,191.5
205.0,-55.5,2380.5,48.79036790187178,2,205.5
207.0,-52.5,2520.5,50.204581464244875,2,207.5
217.0,-39.0,648.0,25.45584412271571,2,217.5
222.0,-53.0,1258.0,35.4682957019364,4,222.5
237.0,-19.0,0.0,0.0,1,237.5
238.0,-56.5,1740.5,41.71930009000631,2,238.5
244.0,-40.0,481.3333333333333,21.939310229205777,4,244.5
249.0,-41.5,665.6666666666666,25.800516790689805,4,249.5
260.0,-40.5,612.5,24.748737341529164,2,260.5
262.0,-39.0,450.0,21.213203435596427,2,262.5
264.0,-48.0,882.0,29.698484809834994,2,264.5
267.0,-50.666666666666664,586.3333333333334,24.214320831552005,3,267.5
272.0,-42.25,575.5833333333334,23.991317874042128,4,272.5
274.0,-40.5,760.5,27.577164466275352,2,274.5
276.0,-41.0,562.0,23.706539182259394,4,276.5
278.0,-46.0,722.0,26.870057685088806,4,278.5
280.0,-23.0,0.0,0.0,1,280.5
281.0,-42.5,544.5,23.33452377915607,2,281.5
282.0,-44.0,722.0,26.870057685088806,2,282.5
283.0,-42.5,684.5,26.16295090390226,2,283.5
284.0,-44.25,412.9166666666667,20.320351046836436,4,284.5
286.0,-46.5,760.5,27.577164466275352,2,286.5
287.0,-51.166666666666664,912.1666666666667,30.202097057434052,6,287.5
288.0,-44.0,386.0,19.6468827043885,4,288.5
289.0,-46.7,484.8999999999999,22.020445045457187,10,289.5
291.0,-56.5,1200.5,34.64823227814083,2,291.5
296.0,-58.5,1404.5,37.476659402887016,2,296.5
301.0,-53.75,1310.25,36.19737559547653,4,301.5
303.0,-58.0,1458.0,38.18376618407357,2,303.5
308.0,-53.0,2312.0,48.08326112068523,2,308.5
309.0,-58.0,1682.0,41.012193308819754,2,309.5
313.0,-57.5,1512.5,38.890872965260115,2,313.5
315.0,-51.5,2812.5,53.033008588991066,2,315.5
320.0,-57.0,1800.0,42.42640687119285,2,320.5
322.0,-53.0,3362.0,57.982756057296896,2,322.5
326.0,-58.0,1458.0,38.18376618407357,2,326.5
342.0,-56.0,1682.0,41.012193308819754,2,342.5
344.0,-56.5,1860.5,43.1335136523794,2,344.5
345.0,-52.5,3444.5,58.68986283848344,2,345.5
358.0,-60.0,2312.0,48.08326112068523,2,358.5
360.0,-63.5,2112.5,45.96194077712559,2,360.5
373.0,-60.0,2312.0,48.08326112068523,2,373.5
375.0,-51.5,3612.5,60.10407640085654,2,375.5
